Rank1,Rank2,Rank3,Percentage
0.833,0.837,0.822,0.0455
0.847,0.844,0.844,0.046
0.848,0.844,0.85,0.0465
0.857,0.849,0.851,0.047
0.877,0.877,0.874,0.0475
0.882,0.877,0.877,0.048
0.885,0.903,0.884,0.0485
0.89,0.908,0.89,0.049
0.893,0.922,0.89,0.0495
0.894,0.932,0.903,0.05
0.92,0.938,0.913,0.0505
0.925,0.94,0.921,0.051
0.928,0.944,0.928,0.0515
0.934,0.946,0.929,0.052
0.935,0.952,0.934,0.0525
0.951,0.956,0.953,0.053
0.959,0.966,0.958,0.0535
0.968,0.98,0.963,0.054
0.974,0.988,0.968,0.0545
0.983,0.99,0.97,0.055
0.983,0.998,0.981,0.0555
0.986,1.003,0.987,0.056
0.992,1.009,0.989,0.0565
0.993,1.011,0.99,0.057
0.999,1.022,1.002,0.0575
1.005,1.023,1.004,0.058
1.015,1.029,1.014,0.0585
1.016,1.043,1.019,0.059
1.021,1.049,1.019,0.0595
1.039,1.051,1.035,0.06
1.044,1.074,1.042,0.0605
1.061,1.084,1.058,0.061
1.084,1.088,1.082,0.0615
1.09,1.097,1.088,0.062
1.105,1.098,1.099,0.0625
1.112,1.1,1.099,0.063
1.118,1.112,1.118,0.0635
1.127,1.131,1.131,0.064
1.13,1.175,1.132,0.0645
1.131,1.182,1.14,0.065
1.19,1.213,1.186,0.0655
1.196,1.225,1.189,0.066
1.209,1.229,1.203,0.0665
1.215,1.231,1.206,0.067
1.222,1.233,1.22,0.0675
1.231,1.24,1.223,0.068
1.242,1.255,1.234,0.0685
1.254,1.276,1.245,0.069
1.258,1.284,1.246,0.0695
1.26,1.298,1.254,0.07
1.261,1.306,1.257,0.0705
1.27,1.308,1.259,0.071
1.272,1.31,1.261,0.0715
1.275,1.312,1.275,0.072
1.275,1.319,1.278,0.0725
1.281,1.32,1.281,0.073
1.29,1.322,1.293,0.0735
1.305,1.328,1.294,0.074
1.308,1.332,1.304,0.0745
1.308,1.352,1.304,0.075
1.319,1.361,1.304,0.0755
1.32,1.369,1.325,0.076
1.339,1.37,1.334,0.0765
1.352,1.373,1.355,0.077
1.353,1.385,1.356,0.0775
1.359,1.386,1.36,0.078
1.372,1.395,1.372,0.0785
1.38,1.397,1.378,0.079
1.39,1.404,1.394,0.0795
1.393,1.409,1.397,0.08
1.402,1.427,1.403,0.0805
1.404,1.427,1.404,0.081
1.412,1.431,1.408,0.0815
1.415,1.439,1.412,0.082
1.44,1.44,1.422,0.0825
1.445,1.448,1.433,0.083
1.446,1.459,1.435,0.0835
1.456,1.467,1.445,0.084
1.457,1.48,1.446,0.0845
1.459,1.48,1.447,0.085
1.46,1.495,1.458,0.0855
1.469,1.504,1.462,0.086
1.478,1.505,1.472,0.0865
1.479,1.509,1.475,0.087
1.485,1.513,1.482,0.0875
1.495,1.514,1.497,0.088
1.498,1.539,1.505,0.0885
1.517,1.545,1.517,0.089
1.524,1.555,1.526,0.0895
1.529,1.562,1.534,0.09
1.535,1.564,1.543,0.0905
1.554,1.566,1.545,0.091
1.558,1.574,1.562,0.0915
1.569,1.588,1.571,0.092
1.571,1.603,1.573,0.0925
1.578,1.604,1.579,0.093
1.578,1.61,1.581,0.0935
1.58,1.617,1.586,0.094
1.586,1.626,1.589,0.0945
1.597,1.646,1.59,0.095
1.629,1.652,1.638,0.0955
1.643,1.67,1.639,0.096
1.653,1.672,1.644,0.0965
1.656,1.675,1.645,0.097
1.659,1.687,1.653,0.0975
1.663,1.699,1.656,0.098
1.673,1.716,1.674,0.0985
1.678,1.717,1.679,0.099
1.684,1.733,1.688,0.0995
1.693,1.739,1.694,0.1
1.708,1.764,1.711,0.1005
1.733,1.77,1.724,0.101
1.776,1.791,1.773,0.1015
1.783,1.791,1.791,0.102
1.785,1.797,1.791,0.1025
1.8,1.845,1.794,0.103
1.804,1.863,1.801,0.1035
1.811,1.874,1.804,0.104
1.812,1.881,1.818,0.1045
1.831,1.882,1.823,0.105
1.86,1.916,1.861,0.1055
1.885,1.932,1.886,0.106
1.892,1.946,1.903,0.1065
1.914,1.946,1.929,0.107
1.93,1.947,1.931,0.1075
1.943,1.949,1.943,0.108
1.948,1.953,1.952,0.1085
1.952,1.971,1.963,0.109
1.969,1.987,1.965,0.1095
1.976,1.992,1.968,0.11
1.983,2.025,1.977,0.1105
2.0,2.027,1.995,0.111
2.027,2.058,2.002,0.1115
2.033,2.063,2.029,0.112
2.044,2.07,2.043,0.1125
2.044,2.09,2.045,0.113
2.062,2.102,2.053,0.1135
2.063,2.107,2.059,0.114
2.074,2.113,2.06,0.1145
2.077,2.123,2.061,0.115
2.089,2.137,2.09,0.1155
2.105,2.14,2.092,0.116
2.107,2.147,2.108,0.1165
2.112,2.147,2.109,0.117
2.112,2.148,2.116,0.1175
2.146,2.192,2.143,0.118
2.157,2.193,2.146,0.1185
2.18,2.206,2.171,0.119
2.181,2.207,2.181,0.1195
2.194,2.211,2.183,0.12
2.197,2.225,2.187,0.1205
2.197,2.232,2.197,0.121
2.198,2.234,2.201,0.1215
2.198,2.254,2.207,0.122
2.204,2.283,2.21,0.1225
2.21,2.286,2.214,0.123
2.211,2.289,2.22,0.1235
2.224,2.289,2.222,0.124
2.23,2.302,2.223,0.1245
2.233,2.331,2.227,0.125
2.246,2.331,2.25,0.1255
2.26,2.396,2.255,0.126
2.292,2.397,2.287,0.1265
2.303,2.418,2.31,0.127
2.341,2.419,2.353,0.1275
2.366,2.425,2.366,0.128
2.379,2.428,2.377,0.1285
2.402,2.441,2.391,0.129
2.406,2.462,2.403,0.1295
2.409,2.474,2.403,0.13
2.412,2.483,2.42,0.1305
2.413,2.501,2.421,0.131
2.429,2.509,2.421,0.1315
2.438,2.512,2.433,0.132
2.442,2.521,2.447,0.1325
2.449,2.525,2.456,0.133
2.503,2.528,2.49,0.1335
2.566,2.553,2.521,0.134
2.572,2.566,2.539,0.1345
2.572,2.58,2.555,0.135
2.573,2.601,2.556,0.1355
2.574,2.61,2.557,0.136
2.581,2.617,2.559,0.1365
2.602,2.621,2.562,0.137
2.607,2.652,2.565,0.1375
2.611,2.688,2.575,0.138
2.616,2.691,2.615,0.1385
2.629,2.693,2.615,0.139
2.639,2.742,2.627,0.1395
2.64,2.751,2.652,0.14
2.643,2.753,2.663,0.1405
2.656,2.755,2.682,0.141
2.67,2.756,2.683,0.1415
2.691,2.756,2.699,0.142
2.698,2.767,2.7,0.1425
2.704,2.768,2.702,0.143
2.707,2.773,2.705,0.1435
2.715,2.785,2.714,0.144
2.745,2.814,2.763,0.1445
2.783,2.823,2.776,0.145
2.785,2.83,2.779,0.1455
2.786,2.837,2.786,0.146
2.79,2.839,2.795,0.1465
2.822,2.841,2.827,0.147
2.822,2.891,2.83,0.1475
2.841,2.899,2.831,0.148
2.843,2.93,2.837,0.1485
2.845,2.938,2.85,0.149
2.852,2.954,2.85,0.1495
2.863,2.959,2.859,0.15
2.869,2.968,2.863,0.1505
2.874,2.977,2.868,0.151
2.883,2.996,2.871,0.1515
2.884,3.007,2.875,0.152
2.885,3.008,2.876,0.1525
2.885,3.022,2.891,0.153
2.886,3.028,2.902,0.1535
2.889,3.028,2.93,0.154
2.942,3.04,2.948,0.1545
2.966,3.053,2.958,0.155
2.976,3.062,2.979,0.1555
2.996,3.091,2.993,0.156
3.005,3.094,3.004,0.1565
3.014,3.097,3.009,0.157
3.016,3.104,3.013,0.1575
3.055,3.139,3.017,0.158
3.068,3.141,3.036,0.1585
3.08,3.141,3.073,0.159
3.094,3.151,3.084,0.1595
3.136,3.153,3.103,0.16
3.146,3.154,3.132,0.1605
3.154,3.165,3.146,0.161
3.155,3.166,3.151,0.1615
3.157,3.192,3.152,0.162
3.158,3.195,3.153,0.1625
3.158,3.195,3.167,0.163
3.166,3.199,3.169,0.1635
3.174,3.214,3.171,0.164
3.174,3.235,3.173,0.1645
3.177,3.25,3.174,0.165
3.184,3.259,3.174,0.1655
3.198,3.294,3.177,0.166
3.214,3.298,3.179,0.1665
3.229,3.318,3.225,0.167
3.236,3.328,3.229,0.1675
3.265,3.346,3.246,0.168
3.275,3.352,3.258,0.1685
3.296,3.381,3.276,0.169
3.306,3.409,3.295,0.1695
3.316,3.411,3.316,0.17
3.33,3.425,3.318,0.1705
3.333,3.47,3.322,0.171
3.347,3.522,3.33,0.1715
3.349,3.546,3.344,0.172
3.365,3.551,3.351,0.1725
3.37,3.587,3.366,0.173
3.407,3.606,3.432,0.1735
3.442,3.616,3.442,0.174
3.509,3.641,3.509,0.1745
3.518,3.744,3.524,0.175
3.524,3.745,3.543,0.1755
3.591,3.771,3.578,0.176
3.593,3.772,3.61,0.1765
3.652,3.773,3.627,0.177
3.656,3.788,3.635,0.1775
3.657,3.796,3.638,0.178
3.665,3.803,3.661,0.1785
3.716,3.828,3.697,0.179
3.724,3.865,3.724,0.1795
3.736,3.868,3.742,0.18
3.786,3.87,3.749,0.1805
3.809,3.884,3.757,0.181
3.81,3.897,3.764,0.1815
3.814,3.903,3.792,0.182
3.823,3.912,3.801,0.1825
3.851,3.914,3.847,0.183
3.876,3.931,3.874,0.1835
3.882,3.965,3.878,0.184
3.885,3.968,3.88,0.1845
3.89,3.999,3.901,0.185
3.898,4.0,3.906,0.1855
3.902,4.005,3.911,0.186
3.91,4.016,3.911,0.1865
3.91,4.016,3.916,0.187
3.924,4.033,3.919,0.1875
3.936,4.059,3.924,0.188
3.947,4.086,3.944,0.1885
3.974,4.104,3.979,0.189
4.027,4.108,4.003,0.1895
4.033,4.12,4.037,0.19
4.051,4.124,4.041,0.1905
4.053,4.127,4.041,0.191
4.056,4.139,4.048,0.1915
4.058,4.174,4.055,0.192
4.06,4.214,4.055,0.1925
4.068,4.215,4.067,0.193
4.11,4.217,4.101,0.1935
4.118,4.217,4.111,0.194
4.146,4.222,4.122,0.1945
4.15,4.225,4.14,0.195
4.181,4.245,4.178,0.1955
4.192,4.278,4.189,0.196
4.197,4.3,4.207,0.1965
4.198,4.321,4.217,0.197
4.223,4.332,4.227,0.1975
4.224,4.341,4.235,0.198
4.239,4.346,4.24,0.1985
4.241,4.37,4.243,0.199
4.253,4.375,4.243,0.1995
4.255,4.383,4.252,0.2
4.26,4.393,4.256,0.2005
4.26,4.394,4.263,0.201
4.261,4.398,4.264,0.2015
4.279,4.41,4.268,0.202
4.28,4.417,4.27,0.2025
4.308,4.426,4.289,0.203
4.312,4.44,4.293,0.2035
4.36,4.484,4.324,0.204
4.361,4.489,4.359,0.2045
4.364,4.498,4.384,0.205
4.395,4.498,4.393,0.2055
4.399,4.504,4.398,0.206
4.454,4.513,4.405,0.2065
4.455,4.535,4.414,0.207
4.478,4.559,4.422,0.2075
4.499,4.598,4.483,0.208
4.501,4.609,4.485,0.2085
4.508,4.609,4.489,0.209
4.518,4.621,4.521,0.2095
4.52,4.626,4.543,0.21
4.545,4.643,4.552,0.2105
4.554,4.651,4.561,0.211
4.558,4.678,4.573,0.2115
4.587,4.679,4.58,0.212
4.608,4.681,4.625,0.2125
4.63,4.693,4.631,0.213
4.644,4.705,4.648,0.2135
4.66,4.706,4.657,0.214
4.663,4.713,4.658,0.2145
4.664,4.727,4.659,0.215
4.67,4.735,4.666,0.2155
4.671,4.761,4.671,0.216
4.681,4.762,4.677,0.2165
4.693,4.792,4.68,0.217
4.695,4.794,4.706,0.2175
4.704,4.807,4.712,0.218
4.727,4.812,4.721,0.2185
4.741,4.819,4.723,0.219
4.751,4.841,4.725,0.2195
4.772,4.842,4.756,0.22
4.773,4.86,4.772,0.2205
4.787,4.868,4.776,0.221
4.788,4.877,4.78,0.2215
4.793,4.93,4.8,0.222
4.798,4.942,4.822,0.2225
4.804,5.002,4.824,0.223
4.804,5.007,4.835,0.2235
4.839,5.051,4.835,0.224
4.848,5.054,4.879,0.2245
4.865,5.084,4.883,0.225
4.878,5.147,4.891,0.2255
4.898,5.159,4.898,0.226
4.943,5.176,4.911,0.2265
4.962,5.181,4.928,0.227
4.981,5.187,4.944,0.2275
5.009,5.194,4.958,0.228
5.021,5.212,4.975,0.2285
5.028,5.225,4.978,0.229
5.03,5.228,4.983,0.2295
5.052,5.265,4.989,0.23
5.053,5.304,5.002,0.2305
5.057,5.312,5.008,0.231
5.058,5.332,5.033,0.2315
5.067,5.338,5.038,0.232
5.08,5.345,5.05,0.2325
5.099,5.353,5.073,0.233
5.111,5.354,5.076,0.2335
5.111,5.361,5.082,0.234
5.112,5.368,5.101,0.2345
5.112,5.374,5.116,0.235
5.116,5.376,5.128,0.2355
5.12,5.398,5.134,0.236
5.146,5.408,5.151,0.2365
5.148,5.423,5.174,0.237
5.182,5.43,5.182,0.2375
5.182,5.432,5.195,0.238
5.211,5.432,5.209,0.2385
5.219,5.442,5.218,0.239
5.25,5.445,5.279,0.2395
5.284,5.445,5.303,0.24
5.293,5.454,5.306,0.2405
5.303,5.456,5.309,0.241
5.329,5.457,5.342,0.2415
5.351,5.498,5.361,0.242
5.356,5.522,5.365,0.2425
5.365,5.536,5.378,0.243
5.407,5.54,5.427,0.2435
5.425,5.558,5.436,0.244
5.457,5.569,5.439,0.2445
5.475,5.583,5.456,0.245
5.477,5.596,5.462,0.2455
5.484,5.615,5.487,0.246
5.494,5.629,5.488,0.2465
5.51,5.659,5.494,0.247
5.517,5.662,5.501,0.2475
5.519,5.717,5.519,0.248
5.527,5.723,5.53,0.2485
5.535,5.789,5.559,0.249
5.554,5.838,5.575,0.2495
5.603,5.843,5.582,0.25
5.605,5.867,5.592,0.2505
5.669,5.88,5.628,0.251
5.697,5.9,5.63,0.2515
5.699,5.906,5.668,0.252
5.7,5.912,5.676,0.2525
5.717,5.918,5.692,0.253
5.758,5.932,5.749,0.2535
5.763,5.965,5.76,0.254
5.779,5.969,5.764,0.2545
5.784,5.973,5.778,0.255
5.788,5.982,5.791,0.2555
5.792,5.984,5.804,0.256
5.818,5.991,5.815,0.2565
5.823,6.006,5.822,0.257
5.83,6.021,5.828,0.2575
5.836,6.024,5.848,0.258
5.843,6.03,5.859,0.2585
5.859,6.057,5.89,0.259
5.873,6.06,5.896,0.2595
5.887,6.075,5.931,0.26
5.958,6.122,5.951,0.2605
5.966,6.126,5.954,0.261
5.967,6.127,5.966,0.2615
5.979,6.135,5.968,0.262
5.98,6.145,5.987,0.2625
5.983,6.15,6.003,0.263
6.01,6.174,6.031,0.2635
6.021,6.213,6.06,0.264
6.032,6.265,6.072,0.2645
6.053,6.277,6.077,0.265
6.063,6.283,6.079,0.2655
6.068,6.284,6.085,0.266
6.098,6.309,6.086,0.2665
6.117,6.313,6.092,0.267
6.123,6.338,6.101,0.2675
6.135,6.359,6.132,0.268
6.144,6.377,6.154,0.2685
6.147,6.38,6.156,0.269
6.176,6.414,6.164,0.2695
6.209,6.444,6.184,0.27
6.214,6.453,6.203,0.2705
6.237,6.459,6.246,0.271
6.243,6.466,6.254,0.2715
6.256,6.477,6.264,0.272
6.269,6.496,6.32,0.2725
6.304,6.499,6.326,0.273
6.327,6.503,6.334,0.2735
6.364,6.522,6.335,0.274
6.366,6.538,6.357,0.2745
6.393,6.551,6.362,0.275
6.412,6.579,6.377,0.2755
6.456,6.599,6.446,0.276
6.486,6.614,6.475,0.2765
6.51,6.627,6.515,0.277
6.513,6.65,6.519,0.2775
6.521,6.653,6.529,0.278
6.537,6.68,6.548,0.2785
6.539,6.691,6.564,0.279
6.614,6.718,6.578,0.2795
6.632,6.72,6.614,0.28
6.632,6.729,6.622,0.2805
6.644,6.733,6.625,0.281
6.664,6.743,6.641,0.2815
6.676,6.747,6.651,0.282
6.687,6.765,6.669,0.2825
6.697,6.779,6.678,0.283
6.702,6.8,6.68,0.2835
6.756,6.84,6.693,0.284
6.775,6.861,6.697,0.2845
6.784,6.896,6.71,0.285
6.8,6.919,6.782,0.2855
6.818,6.93,6.794,0.286
6.849,6.937,6.797,0.2865
6.869,6.937,6.812,0.287
6.87,6.964,6.823,0.2875
6.891,6.969,6.832,0.288
6.904,6.982,6.869,0.2885
6.921,7.025,6.878,0.289
6.924,7.042,6.886,0.2895
6.933,7.048,6.907,0.29
6.939,7.073,6.912,0.2905
6.945,7.075,6.916,0.291
6.954,7.082,6.952,0.2915
6.977,7.088,6.976,0.292
6.978,7.121,6.977,0.2925
7.005,7.128,6.977,0.293
7.031,7.186,6.996,0.2935
7.052,7.191,7.019,0.294
7.055,7.201,7.028,0.2945
7.074,7.205,7.038,0.295
7.082,7.215,7.046,0.2955
7.101,7.221,7.048,0.296
7.104,7.233,7.057,0.2965
7.107,7.24,7.093,0.297
7.107,7.272,7.098,0.2975
7.13,7.272,7.104,0.298
7.161,7.289,7.115,0.2985
7.164,7.291,7.126,0.299
7.176,7.292,7.168,0.2995
7.187,7.362,7.168,0.3
7.214,7.377,7.179,0.3005
7.215,7.414,7.185,0.301
7.252,7.418,7.186,0.3015
7.283,7.457,7.225,0.302
7.285,7.471,7.226,0.3025
7.286,7.503,7.236,0.303
7.293,7.532,7.262,0.3035
7.314,7.538,7.273,0.304
7.319,7.555,7.298,0.3045
7.326,7.557,7.301,0.305
7.33,7.569,7.302,0.3055
7.354,7.585,7.311,0.306
7.363,7.588,7.318,0.3065
7.371,7.621,7.344,0.307
7.393,7.669,7.381,0.3075
7.396,7.728,7.4,0.308
7.403,7.753,7.405,0.3085
7.432,7.758,7.445,0.309
7.436,7.808,7.454,0.3095
7.456,7.822,7.463,0.31
7.459,7.84,7.471,0.3105
7.477,7.875,7.493,0.311
7.519,7.89,7.502,0.3115
7.521,7.898,7.529,0.312
7.542,7.924,7.541,0.3125
7.555,7.926,7.582,0.313
7.575,7.954,7.595,0.3135
7.587,7.982,7.606,0.314
7.594,8.009,7.609,0.3145
7.62,8.026,7.61,0.315
7.635,8.029,7.679,0.3155
7.673,8.064,7.701,0.316
7.707,8.128,7.702,0.3165
7.744,8.152,7.718,0.317
7.75,8.155,7.744,0.3175
7.811,8.211,7.775,0.318
7.811,8.289,7.776,0.3185
7.823,8.295,7.822,0.319
7.83,8.296,7.827,0.3195
7.923,8.323,7.867,0.32
7.95,8.325,7.905,0.3205
7.956,8.342,7.933,0.321
7.96,8.369,7.966,0.3215
7.996,8.413,7.967,0.322
8.013,8.431,7.973,0.3225
8.024,8.437,8.025,0.323
8.044,8.533,8.025,0.3235
8.162,8.535,8.085,0.324
8.189,8.536,8.125,0.3245
8.191,8.565,8.17,0.325
8.198,8.586,8.171,0.3255
8.223,8.639,8.227,0.326
8.233,8.694,8.273,0.3265
8.255,8.708,8.296,0.327
8.344,8.712,8.304,0.3275
8.349,8.729,8.309,0.328
8.356,8.793,8.31,0.3285
8.375,8.88,8.312,0.329
8.446,8.914,8.392,0.3295
8.453,8.915,8.422,0.33
8.48,8.917,8.434,0.3305
8.493,8.945,8.437,0.331
8.506,8.949,8.47,0.3315
8.515,8.969,8.511,0.332
8.538,8.987,8.516,0.3325
8.565,8.995,8.559,0.333
8.597,9.001,8.596,0.3335
8.608,9.009,8.606,0.334
8.652,9.015,8.612,0.3345
8.683,9.029,8.625,0.335
8.691,9.04,8.635,0.3355
8.709,9.064,8.637,0.336
8.718,9.067,8.679,0.3365
8.728,9.153,8.679,0.337
8.751,9.179,8.685,0.3375
8.766,9.195,8.688,0.338
8.767,9.195,8.693,0.3385
8.782,9.206,8.753,0.339
8.795,9.238,8.76,0.3395
8.839,9.252,8.761,0.34
8.893,9.272,8.8,0.3405
8.894,9.274,8.826,0.341
8.93,9.421,8.866,0.3415
8.931,9.431,8.909,0.342
8.95,9.462,8.934,0.3425
8.977,9.498,8.942,0.343
8.981,9.503,8.944,0.3435
8.984,9.529,9.051,0.344
9.014,9.552,9.077,0.3445
9.025,9.574,9.078,0.345
9.043,9.61,9.087,0.3455
9.108,9.651,9.112,0.346
9.119,9.663,9.114,0.3465
9.131,9.697,9.114,0.347
9.164,9.718,9.189,0.3475
9.186,9.718,9.219,0.348
9.189,9.732,9.238,0.3485
9.233,9.744,9.238,0.349
9.236,9.751,9.267,0.3495
9.249,9.821,9.275,0.35
9.258,9.833,9.321,0.3505
9.26,9.864,9.336,0.351
9.271,9.9,9.383,0.3515
9.282,9.9,9.394,0.352
9.373,9.922,9.407,0.3525
9.383,9.937,9.408,0.353
9.393,9.966,9.418,0.3535
9.412,9.984,9.44,0.354
9.414,10.004,9.44,0.3545
9.478,10.018,9.45,0.355
9.493,10.099,9.467,0.3555
9.551,10.1,9.532,0.356
9.571,10.135,9.547,0.3565
9.595,10.162,9.567,0.357
9.617,10.198,9.59,0.3575
9.642,10.203,9.603,0.358
9.649,10.206,9.64,0.3585
9.679,10.228,9.641,0.359
9.696,10.254,9.68,0.3595
9.705,10.255,9.693,0.36
9.743,10.286,9.704,0.3605
9.77,10.291,9.733,0.361
9.776,10.319,9.735,0.3615
9.782,10.333,9.758,0.362
9.782,10.337,9.759,0.3625
9.785,10.358,9.777,0.363
9.808,10.406,9.822,0.3635
9.828,10.432,9.833,0.364
9.837,10.452,9.836,0.3645
9.856,10.467,9.865,0.365
9.87,10.49,9.876,0.3655
9.903,10.538,9.878,0.366
9.916,10.547,9.901,0.3665
9.942,10.592,9.917,0.367
10.005,10.615,9.94,0.3675
10.026,10.629,9.97,0.368
10.028,10.704,10.064,0.3685
10.029,10.705,10.071,0.369
10.067,10.712,10.102,0.3695
10.161,10.721,10.107,0.37
10.178,10.74,10.152,0.3705
10.183,10.755,10.16,0.371
10.201,10.772,10.161,0.3715
10.246,10.8,10.178,0.372
10.261,10.807,10.183,0.3725
10.263,10.822,10.227,0.373
10.274,10.895,10.231,0.3735
10.287,10.901,10.255,0.374
10.313,10.902,10.304,0.3745
10.314,10.978,10.307,0.375
10.333,11.0,10.326,0.3755
10.376,11.053,10.331,0.376
10.444,11.072,10.372,0.3765
10.471,11.09,10.378,0.377
10.495,11.12,10.396,0.3775
10.519,11.121,10.443,0.378
10.541,11.147,10.51,0.3785
10.611,11.163,10.56,0.379
10.662,11.167,10.585,0.3795
10.671,11.178,10.622,0.38
10.707,11.215,10.635,0.3805
10.718,11.225,10.648,0.381
10.741,11.273,10.661,0.3815
10.759,11.277,10.669,0.382
10.76,11.281,10.74,0.3825
10.762,11.293,10.769,0.383
10.783,11.298,10.791,0.3835
10.796,11.311,10.794,0.384
10.854,11.349,10.808,0.3845
10.871,11.404,10.811,0.385
10.89,11.408,10.843,0.3855
10.92,11.479,10.87,0.386
10.922,11.48,10.875,0.3865
10.925,11.526,10.902,0.387
10.936,11.535,10.923,0.3875
10.94,11.624,10.934,0.388
10.97,11.676,10.955,0.3885
10.998,11.679,11.002,0.389
11.081,11.691,11.008,0.3895
11.085,11.718,11.015,0.39
11.143,11.719,11.017,0.3905
11.186,11.721,11.063,0.391
11.189,11.75,11.105,0.3915
11.208,11.85,11.16,0.392
11.215,11.882,11.166,0.3925
11.235,11.911,11.182,0.393
11.242,11.916,11.206,0.3935
11.245,11.923,11.265,0.394
11.246,11.937,11.271,0.3945
11.257,11.942,11.281,0.395
11.284,11.958,11.293,0.3955
11.289,11.96,11.332,0.396
11.308,11.972,11.343,0.3965
11.332,12.036,11.36,0.397
11.489,12.138,11.403,0.3975
11.529,12.142,11.445,0.398
11.559,12.151,11.457,0.3985
11.565,12.169,11.474,0.399
11.572,12.171,11.492,0.3995
11.576,12.191,11.514,0.4
11.584,12.218,11.527,0.4005
11.608,12.25,11.547,0.401
11.655,12.262,11.568,0.4015
11.71,12.274,11.604,0.402
11.723,12.343,11.607,0.4025
11.731,12.349,11.633,0.403
11.733,12.435,11.684,0.4035
11.784,12.437,11.736,0.404
11.814,12.443,11.842,0.4045
11.896,12.467,11.853,0.405
11.903,12.505,11.869,0.4055
11.937,12.56,11.873,0.406
11.99,12.568,11.911,0.4065
12.002,12.664,11.918,0.407
12.015,12.667,11.934,0.4075
12.02,12.7,11.949,0.408
12.065,12.752,11.966,0.4085
12.076,12.804,11.967,0.409
12.112,12.833,11.975,0.4095
12.151,12.838,11.983,0.41
12.163,12.878,12.024,0.4105
12.174,12.967,12.037,0.411
12.189,12.998,12.048,0.4115
12.194,13.047,12.049,0.412
12.216,13.047,12.06,0.4125
12.238,13.048,12.103,0.413
12.278,13.069,12.128,0.4135
12.285,13.074,12.142,0.414
12.324,13.138,12.172,0.4145
12.334,13.145,12.223,0.415
12.342,13.153,12.243,0.4155
12.343,13.197,12.243,0.416
12.352,13.236,12.276,0.4165
12.366,13.236,12.308,0.417
12.393,13.292,12.32,0.4175
12.401,13.327,12.341,0.418
12.428,13.363,12.343,0.4185
12.432,13.374,12.375,0.419
12.432,13.398,12.381,0.4195
12.465,13.405,12.385,0.42
12.537,13.433,12.467,0.4205
12.594,13.437,12.479,0.421
12.623,13.477,12.512,0.4215
12.641,13.511,12.519,0.422
12.641,13.512,12.53,0.4225
