Rank1,Rank2,Rank3,Percentage
3.904,2.805,2.513,0.1395
3.908,2.824,2.541,0.14
3.96,2.824,2.557,0.1405
4.017,2.839,2.56,0.141
4.027,2.866,2.56,0.1415
4.088,2.869,2.571,0.142
4.089,2.876,2.594,0.1425
4.114,2.883,2.604,0.143
4.256,2.891,2.607,0.1435
4.259,2.892,2.621,0.144
4.272,2.911,2.624,0.1445
4.275,2.914,2.63,0.145
4.32,2.937,2.641,0.1455
4.333,2.948,2.719,0.146
4.368,2.974,2.73,0.1465
4.39,2.986,2.75,0.147
4.451,3.015,2.751,0.1475
4.452,3.074,2.759,0.148
4.461,3.076,2.762,0.1485
4.515,3.099,2.771,0.149
4.524,3.13,2.809,0.1495
4.529,3.134,2.815,0.15
4.547,3.141,2.824,0.1505
4.56,3.146,2.824,0.151
4.6,3.154,2.84,0.1515
4.625,3.159,2.863,0.152
4.628,3.187,2.867,0.1525
4.633,3.189,2.871,0.153
4.634,3.212,2.886,0.1535
4.639,3.214,2.9,0.154
4.649,3.216,2.918,0.1545
4.671,3.229,2.942,0.155
4.739,3.235,2.961,0.1555
4.763,3.271,2.971,0.156
4.777,3.294,2.973,0.1565
4.805,3.306,2.981,0.157
4.807,3.34,2.982,0.1575
4.81,3.35,2.988,0.158
4.816,3.362,2.994,0.1585
4.849,3.381,3.011,0.159
4.855,3.392,3.049,0.1595
4.888,3.413,3.052,0.16
4.905,3.418,3.058,0.1605
4.922,3.421,3.063,0.161
4.955,3.443,3.081,0.1615
4.964,3.45,3.081,0.162
4.979,3.477,3.084,0.1625
4.985,3.478,3.087,0.163
5.008,3.514,3.089,0.1635
5.062,3.544,3.112,0.164
5.086,3.574,3.113,0.1645
5.167,3.586,3.125,0.165
5.17,3.599,3.15,0.1655
5.281,3.637,3.153,0.166
5.29,3.645,3.156,0.1665
5.331,3.651,3.16,0.167
5.354,3.658,3.166,0.1675
5.359,3.68,3.168,0.168
5.377,3.703,3.172,0.1685
5.391,3.747,3.188,0.169
5.394,3.761,3.206,0.1695
5.449,3.763,3.208,0.17
5.479,3.789,3.235,0.1705
5.516,3.792,3.283,0.171
5.533,3.803,3.291,0.1715
5.618,3.808,3.291,0.172
5.633,3.828,3.316,0.1725
5.639,3.837,3.335,0.173
5.667,3.855,3.343,0.1735
5.719,3.889,3.354,0.174
5.728,3.913,3.359,0.1745
5.783,3.929,3.365,0.175
5.786,3.937,3.368,0.1755
5.808,3.947,3.369,0.176
5.817,3.953,3.379,0.1765
5.817,3.96,3.385,0.177
5.903,3.967,3.395,0.1775
5.906,3.979,3.41,0.178
5.913,3.998,3.424,0.1785
5.914,4.001,3.455,0.179
5.925,4.018,3.47,0.1795
5.94,4.039,3.5,0.18
5.94,4.041,3.524,0.1805
5.972,4.094,3.537,0.181
5.999,4.104,3.541,0.1815
6.025,4.114,3.555,0.182
6.029,4.124,3.594,0.1825
6.037,4.146,3.6,0.183
6.122,4.186,3.628,0.1835
6.126,4.196,3.637,0.184
6.135,4.198,3.638,0.1845
6.146,4.223,3.667,0.185
6.168,4.248,3.68,0.1855
6.189,4.252,3.691,0.186
6.22,4.257,3.699,0.1865
6.244,4.264,3.703,0.187
6.294,4.285,3.705,0.1875
6.302,4.285,3.712,0.188
6.35,4.289,3.714,0.1885
6.401,4.34,3.717,0.189
6.42,4.394,3.722,0.1895
6.426,4.403,3.732,0.19
6.464,4.407,3.772,0.1905
6.49,4.425,3.773,0.191
6.509,4.461,3.804,0.1915
6.525,4.474,3.809,0.192
6.534,4.477,3.845,0.1925
6.602,4.479,3.865,0.193
6.625,4.485,3.878,0.1935
6.639,4.487,3.879,0.194
6.645,4.507,3.892,0.1945
6.688,4.518,3.895,0.195
6.703,4.534,3.897,0.1955
6.729,4.567,3.902,0.196
6.795,4.585,3.916,0.1965
6.802,4.629,3.927,0.197
6.814,4.63,3.939,0.1975
6.829,4.633,3.94,0.198
6.833,4.659,3.968,0.1985
6.851,4.666,3.973,0.199
6.858,4.686,4.001,0.1995
6.862,4.696,4.001,0.2
6.862,4.712,4.024,0.2005
6.863,4.72,4.031,0.201
6.917,4.737,4.031,0.2015
6.975,4.746,4.067,0.202
7.034,4.749,4.128,0.2025
7.097,4.766,4.137,0.203
7.099,4.828,4.138,0.2035
7.196,4.859,4.139,0.204
7.197,4.871,4.147,0.2045
7.205,4.89,4.148,0.205
7.215,4.901,4.16,0.2055
7.221,4.943,4.182,0.206
7.223,4.951,4.184,0.2065
7.233,5.009,4.187,0.207
7.283,5.013,4.241,0.2075
7.294,5.046,4.253,0.208
7.332,5.06,4.261,0.2085
7.346,5.067,4.284,0.209
7.438,5.104,4.303,0.2095
7.45,5.116,4.305,0.21
7.462,5.122,4.305,0.2105
7.477,5.138,4.326,0.211
7.506,5.154,4.336,0.2115
7.535,5.157,4.344,0.212
7.536,5.168,4.378,0.2125
7.545,5.187,4.395,0.213
7.61,5.194,4.398,0.2135
7.629,5.202,4.404,0.214
7.691,5.228,4.427,0.2145
7.809,5.284,4.447,0.215
7.828,5.293,4.455,0.2155
7.835,5.298,4.455,0.216
7.871,5.302,4.461,0.2165
7.914,5.321,4.466,0.217
7.941,5.328,4.472,0.2175
7.95,5.359,4.478,0.218
7.995,5.365,4.519,0.2185
8.004,5.412,4.52,0.219
8.029,5.471,4.549,0.2195
8.049,5.482,4.576,0.22
8.056,5.5,4.59,0.2205
8.113,5.552,4.62,0.221
8.143,5.561,4.625,0.2215
8.204,5.569,4.631,0.222
8.206,5.571,4.646,0.2225
8.283,5.58,4.657,0.223
8.292,5.583,4.666,0.2235
8.345,5.585,4.674,0.224
8.353,5.602,4.677,0.2245
8.494,5.626,4.706,0.225
8.562,5.654,4.718,0.2255
8.653,5.665,4.733,0.226
8.691,5.667,4.743,0.2265
8.693,5.669,4.768,0.227
8.694,5.696,4.794,0.2275
8.704,5.739,4.832,0.228
8.746,5.847,4.84,0.2285
8.755,5.852,4.844,0.229
8.778,5.934,4.846,0.2295
8.826,5.947,4.887,0.23
8.885,5.996,4.957,0.2305
8.909,6.006,4.965,0.231
8.92,6.014,5.005,0.2315
8.929,6.067,5.023,0.232
9.011,6.069,5.048,0.2325
9.037,6.096,5.078,0.233
9.037,6.12,5.08,0.2335
9.121,6.171,5.082,0.234
9.123,6.184,5.083,0.2345
9.134,6.201,5.087,0.235
9.169,6.228,5.093,0.2355
9.202,6.247,5.095,0.236
9.229,6.272,5.119,0.2365
9.229,6.332,5.124,0.237
9.318,6.332,5.124,0.2375
9.379,6.436,5.134,0.238
9.398,6.446,5.147,0.2385
9.403,6.486,5.153,0.239
9.408,6.489,5.168,0.2395
9.439,6.506,5.178,0.24
9.451,6.511,5.181,0.2405
9.461,6.528,5.193,0.241
9.493,6.548,5.202,0.2415
9.513,6.551,5.219,0.242
9.537,6.565,5.22,0.2425
9.547,6.59,5.22,0.243
9.592,6.635,5.221,0.2435
9.607,6.643,5.226,0.244
9.646,6.655,5.239,0.2445
9.691,6.658,5.241,0.245
9.731,6.675,5.29,0.2455
9.744,6.695,5.294,0.246
9.8,6.701,5.322,0.2465
9.807,6.707,5.329,0.247
9.842,6.709,5.336,0.2475
9.908,6.768,5.348,0.248
9.923,6.782,5.352,0.2485
9.93,6.819,5.372,0.249
9.954,6.851,5.374,0.2495
10.068,6.87,5.383,0.25
10.071,6.916,5.39,0.2505
10.107,6.94,5.41,0.251
10.159,6.955,5.42,0.2515
10.205,6.968,5.423,0.252
10.223,6.985,5.425,0.2525
10.302,6.998,5.444,0.253
10.322,7.014,5.452,0.2535
10.354,7.016,5.455,0.254
10.36,7.017,5.494,0.2545
10.405,7.041,5.503,0.255
10.535,7.062,5.507,0.2555
10.535,7.064,5.507,0.256
10.54,7.073,5.513,0.2565
10.642,7.073,5.546,0.257
10.663,7.104,5.6,0.2575
10.673,7.109,5.611,0.258
10.793,7.168,5.622,0.2585
10.811,7.176,5.623,0.259
10.826,7.197,5.639,0.2595
10.89,7.207,5.658,0.26
10.98,7.21,5.672,0.2605
11.011,7.22,5.688,0.261
11.016,7.224,5.691,0.2615
11.179,7.228,5.707,0.262
11.198,7.238,5.726,0.2625
11.211,7.242,5.735,0.263
11.221,7.25,5.774,0.2635
11.223,7.28,5.781,0.264
11.277,7.376,5.834,0.2645
11.317,7.397,5.852,0.265
11.327,7.4,5.878,0.2655
11.363,7.411,5.881,0.266
11.392,7.416,5.918,0.2665
11.439,7.434,5.934,0.267
11.522,7.443,5.937,0.2675
11.635,7.444,5.96,0.268
11.683,7.449,5.977,0.2685
11.74,7.454,5.982,0.269
11.772,7.478,5.995,0.2695
11.81,7.498,6.001,0.27
11.81,7.528,6.031,0.2705
11.841,7.572,6.059,0.271
11.857,7.586,6.07,0.2715
11.86,7.616,6.1,0.272
11.925,7.617,6.134,0.2725
11.958,7.623,6.136,0.273
11.959,7.697,6.14,0.2735
12.042,7.705,6.215,0.274
12.074,7.72,6.235,0.2745
12.103,7.726,6.273,0.275
12.166,7.732,6.276,0.2755
12.237,7.785,6.278,0.276
12.32,7.817,6.292,0.2765
12.364,7.827,6.302,0.277
12.53,7.923,6.303,0.2775
12.536,7.948,6.325,0.278
12.575,7.957,6.332,0.2785
12.597,7.981,6.332,0.279
12.609,7.988,6.344,0.2795
12.644,8.012,6.351,0.28
12.728,8.026,6.355,0.2805
12.759,8.09,6.377,0.281
12.939,8.101,6.389,0.2815
13.03,8.116,6.396,0.282
13.061,8.169,6.406,0.2825
13.066,8.339,6.421,0.283
13.091,8.376,6.426,0.2835
13.117,8.383,6.43,0.284
13.164,8.392,6.463,0.2845
13.217,8.441,6.483,0.285
13.236,8.489,6.489,0.2855
13.239,8.493,6.492,0.286
13.249,8.508,6.493,0.2865
13.341,8.544,6.512,0.287
13.403,8.64,6.542,0.2875
13.415,8.649,6.559,0.288
13.439,8.65,6.561,0.2885
13.55,8.664,6.565,0.289
13.567,8.695,6.573,0.2895
13.59,8.702,6.581,0.29
13.611,8.716,6.583,0.2905
13.749,8.724,6.591,0.291
13.853,8.729,6.625,0.2915
13.889,8.748,6.666,0.292
13.932,8.806,6.691,0.2925
13.958,8.844,6.701,0.293
13.986,8.849,6.708,0.2935
14.018,8.871,6.714,0.294
14.077,8.879,6.725,0.2945
14.112,8.902,6.732,0.295
14.115,8.943,6.734,0.2955
14.166,8.957,6.741,0.296
14.235,8.979,6.746,0.2965
14.345,9.002,6.763,0.297
14.381,9.007,6.763,0.2975
14.39,9.048,6.764,0.298
14.455,9.056,6.764,0.2985
14.491,9.061,6.766,0.299
14.5,9.103,6.847,0.2995
14.571,9.11,6.863,0.3
14.583,9.13,6.865,0.3005
14.604,9.133,6.865,0.301
14.631,9.139,6.884,0.3015
14.634,9.157,6.996,0.302
14.685,9.19,7.003,0.3025
14.687,9.242,7.016,0.303
14.707,9.284,7.043,0.3035
14.826,9.298,7.046,0.304
14.922,9.327,7.106,0.3045
15.032,9.329,7.109,0.305
15.06,9.342,7.128,0.3055
15.093,9.397,7.168,0.306
15.1,9.459,7.177,0.3065
15.104,9.489,7.199,0.307
15.114,9.534,7.211,0.3075
15.215,9.598,7.216,0.308
15.266,9.641,7.238,0.3085
15.275,9.653,7.242,0.309
15.286,9.654,7.284,0.3095
15.347,9.672,7.305,0.31
15.365,9.682,7.305,0.3105
15.394,9.731,7.323,0.311
15.423,9.758,7.354,0.3115
15.437,9.818,7.375,0.312
15.441,9.84,7.379,0.3125
15.496,9.841,7.384,0.313
15.55,9.855,7.417,0.3135
15.577,9.866,7.429,0.314
15.664,9.89,7.435,0.3145
15.696,9.928,7.438,0.315
15.814,9.951,7.44,0.3155
15.855,9.96,7.448,0.316
15.905,9.981,7.463,0.3165
15.939,10.003,7.489,0.317
15.941,10.044,7.504,0.3175
16.035,10.073,7.551,0.318
16.038,10.076,7.595,0.3185
16.045,10.084,7.603,0.319
16.083,10.13,7.611,0.3195
16.163,10.167,7.641,0.32
16.218,10.167,7.662,0.3205
16.253,10.174,7.663,0.321
16.264,10.184,7.668,0.3215
16.273,10.209,7.677,0.322
16.289,10.284,7.688,0.3225
16.291,10.341,7.696,0.323
16.44,10.343,7.716,0.3235
16.461,10.432,7.747,0.324
16.467,10.439,7.764,0.3245
16.492,10.44,7.776,0.325
16.492,10.443,7.806,0.3255
16.575,10.456,7.808,0.326
16.674,10.489,7.811,0.3265
16.709,10.505,7.826,0.327
16.782,10.516,7.841,0.3275
16.784,10.536,7.892,0.328
16.792,10.55,7.894,0.3285
16.815,10.584,7.93,0.329
16.902,10.586,7.944,0.3295
16.99,10.615,7.968,0.33
16.993,10.627,7.969,0.3305
17.033,10.69,7.996,0.331
17.051,10.701,7.998,0.3315
17.054,10.72,8.004,0.332
17.089,10.781,8.014,0.3325
17.092,10.781,8.052,0.333
17.156,10.785,8.054,0.3335
17.242,10.79,8.064,0.334
17.253,10.872,8.068,0.3345
17.31,10.929,8.097,0.335
17.483,10.949,8.107,0.3355
17.504,10.969,8.14,0.336
17.537,10.973,8.143,0.3365
17.69,10.993,8.147,0.337
17.714,11.099,8.219,0.3375
17.732,11.125,8.233,0.338
17.788,11.144,8.272,0.3385
17.799,11.175,8.306,0.339
18.02,11.237,8.334,0.3395
18.077,11.255,8.355,0.34
18.121,11.296,8.384,0.3405
18.193,11.308,8.399,0.341
18.422,11.343,8.4,0.3415
18.487,11.384,8.412,0.342
18.641,11.386,8.441,0.3425
18.68,11.394,8.452,0.343
18.783,11.42,8.478,0.3435
18.844,11.422,8.486,0.344
18.873,11.497,8.518,0.3445
18.889,11.666,8.52,0.345
18.932,11.742,8.565,0.3455
18.967,11.747,8.568,0.346
18.994,11.767,8.599,0.3465
19.057,11.795,8.607,0.347
19.109,11.799,8.622,0.3475
19.117,11.835,8.653,0.348
19.117,11.837,8.673,0.3485
19.128,11.88,8.691,0.349
19.135,11.902,8.699,0.3495
19.204,11.935,8.702,0.35
19.224,11.94,8.715,0.3505
19.267,11.944,8.716,0.351
19.362,11.971,8.717,0.3515
19.365,11.981,8.735,0.352
19.396,11.995,8.791,0.3525
19.45,12.051,8.805,0.353
19.464,12.057,8.812,0.3535
19.47,12.064,8.836,0.354
19.556,12.077,8.922,0.3545
19.603,12.086,8.922,0.355
19.684,12.091,8.923,0.3555
19.684,12.091,8.937,0.356
19.705,12.138,8.953,0.3565
19.824,12.172,8.956,0.357
19.864,12.209,8.96,0.3575
19.875,12.319,8.962,0.358
19.913,12.402,8.987,0.3585
19.938,12.434,9.059,0.359
19.996,12.451,9.062,0.3595
20.064,12.467,9.067,0.36
20.086,12.53,9.083,0.3605
20.162,12.537,9.1,0.361
20.323,12.579,9.1,0.3615
20.337,12.591,9.108,0.362
20.439,12.628,9.109,0.3625
20.445,12.677,9.122,0.363
20.476,12.732,9.179,0.3635
20.476,12.74,9.194,0.364
20.577,12.805,9.208,0.3645
20.612,12.817,9.227,0.365
20.794,12.883,9.227,0.3655
20.977,12.904,9.238,0.366
21.058,12.974,9.251,0.3665
21.069,12.978,9.279,0.367
21.089,13.04,9.347,0.3675
21.097,13.054,9.357,0.368
21.181,13.065,9.36,0.3685
21.26,13.076,9.375,0.369
21.395,13.1,9.411,0.3695
21.69,13.135,9.412,0.37
21.713,13.163,9.426,0.3705
21.881,13.198,9.446,0.371
21.995,13.202,9.449,0.3715
22.079,13.225,9.474,0.372
22.125,13.276,9.506,0.3725
22.154,13.385,9.525,0.373
22.159,13.397,9.529,0.3735
22.229,13.449,9.537,0.374
22.331,13.528,9.542,0.3745
22.471,13.553,9.557,0.375
22.663,13.571,9.558,0.3755
22.83,13.647,9.562,0.376
22.842,13.702,9.569,0.3765
22.863,13.714,9.575,0.377
22.944,13.797,9.599,0.3775
23.056,13.896,9.6,0.378
23.161,13.903,9.639,0.3785
23.169,13.93,9.649,0.379
23.186,13.943,9.654,0.3795
23.196,13.977,9.71,0.38
23.202,13.986,9.735,0.3805
23.232,13.989,9.736,0.381
23.234,14.108,9.74,0.3815
23.271,14.15,9.763,0.382
23.274,14.161,9.793,0.3825
23.314,14.193,9.853,0.383
23.349,14.216,9.864,0.3835
23.472,14.293,9.879,0.384
23.575,14.335,9.881,0.3845
23.611,14.353,9.898,0.385
23.665,14.411,9.929,0.3855
23.693,14.539,9.929,0.386
23.736,14.543,9.942,0.3865
23.747,14.554,9.953,0.387
23.998,14.651,9.953,0.3875
24.011,14.664,9.953,0.388
24.178,14.697,9.983,0.3885
24.194,14.715,10.004,0.389
24.228,14.815,10.023,0.3895
24.332,14.828,10.037,0.39
24.419,14.889,10.049,0.3905
24.443,14.909,10.126,0.391
24.482,14.913,10.156,0.3915
24.532,14.971,10.162,0.392
24.54,15.051,10.184,0.3925
24.578,15.109,10.186,0.393
24.664,15.114,10.22,0.3935
24.758,15.117,10.241,0.394
24.782,15.134,10.254,0.3945
24.951,15.168,10.254,0.395
25.013,15.218,10.26,0.3955
25.16,15.244,10.287,0.396
25.339,15.278,10.294,0.3965
25.363,15.292,10.296,0.397
25.4,15.413,10.31,0.3975
25.453,15.449,10.338,0.398
25.505,15.469,10.403,0.3985
25.596,15.474,10.406,0.399
25.727,15.478,10.414,0.3995
25.784,15.563,10.49,0.4
25.975,15.565,10.506,0.4005
26.032,15.574,10.521,0.401
26.042,15.622,10.521,0.4015
26.044,15.643,10.531,0.402
26.048,15.673,10.537,0.4025
26.284,15.685,10.539,0.403
26.292,15.751,10.549,0.4035
26.31,15.772,10.621,0.404
26.362,15.819,10.658,0.4045
26.372,15.919,10.658,0.405
26.472,16.096,10.67,0.4055
26.481,16.106,10.727,0.406
26.583,16.13,10.748,0.4065
26.665,16.162,10.775,0.407
26.698,16.196,10.777,0.4075
26.714,16.363,10.89,0.408
26.855,16.4,10.908,0.4085
26.863,16.41,10.916,0.409
26.891,16.415,10.925,0.4095
27.114,16.43,10.931,0.41
27.191,16.438,10.94,0.4105
27.21,16.442,10.952,0.411
27.237,16.493,10.962,0.4115
27.282,16.503,10.972,0.412
27.506,16.578,10.997,0.4125
27.603,16.689,11.019,0.413
27.916,16.689,11.031,0.4135
28.068,16.693,11.047,0.414
28.16,16.717,11.067,0.4145
28.19,16.765,11.09,0.415
28.331,16.788,11.101,0.4155
28.378,16.864,11.116,0.416
28.454,16.88,11.117,0.4165
28.505,16.889,11.138,0.417
28.601,16.89,11.195,0.4175
28.707,16.918,11.198,0.418
28.747,16.957,11.199,0.4185
28.847,16.99,11.211,0.419
28.862,17.014,11.25,0.4195
29.106,17.05,11.346,0.42
29.115,17.106,11.363,0.4205
29.145,17.107,11.42,0.421
29.188,17.123,11.464,0.4215
29.254,17.14,11.481,0.422
29.36,17.236,11.51,0.4225
