Rank1,Rank2,Rank3,Rank4,Percentage
0.987,0.068,0.003,0.0,0.057
1.012,0.071,0.003,0.0,0.058
1.023,0.071,0.004,0.0,0.059
1.044,0.073,0.004,0.0,0.06
1.053,0.077,0.004,0.0,0.061
1.116,0.078,0.005,0.0,0.062
1.159,0.081,0.006,0.0,0.063
1.195,0.085,0.006,0.0,0.064
1.211,0.087,0.006,0.0,0.065
1.247,0.089,0.007,0.0,0.066
1.253,0.089,0.007,0.0,0.067
1.266,0.089,0.007,0.0,0.068
1.278,0.093,0.008,0.0,0.069
1.342,0.093,0.008,0.0,0.07
1.348,0.094,0.008,0.0,0.071
1.368,0.096,0.009,0.0,0.072
1.385,0.099,0.01,0.0,0.073
1.394,0.1,0.01,0.0,0.074
1.426,0.102,0.01,0.0,0.075
1.43,0.103,0.01,0.0,0.076
1.455,0.109,0.011,0.0,0.077
1.46,0.11,0.011,0.0,0.078
1.475,0.111,0.011,0.0,0.079
1.503,0.111,0.011,0.0,0.08
1.508,0.112,0.012,0.0,0.081
1.525,0.113,0.012,0.0,0.082
1.542,0.115,0.012,0.0,0.083
1.562,0.119,0.012,0.0,0.084
1.582,0.12,0.012,0.0,0.085
1.598,0.125,0.012,0.0,0.086
1.609,0.125,0.012,0.0,0.087
1.646,0.126,0.012,0.0,0.088
1.67,0.128,0.013,0.0,0.089
1.674,0.128,0.013,0.0,0.09
1.677,0.13,0.014,0.0,0.091
1.678,0.134,0.014,0.0,0.092
1.683,0.135,0.014,0.0,0.093
1.712,0.138,0.014,0.0,0.094
1.733,0.138,0.014,0.0,0.095
1.767,0.151,0.015,0.0,0.096
1.771,0.152,0.015,0.0,0.097
1.774,0.162,0.015,0.0,0.098
1.803,0.166,0.015,0.0,0.099
1.818,0.166,0.015,0.0,0.1
1.819,0.173,0.016,0.0,0.101
1.851,0.184,0.016,0.0,0.102
1.876,0.185,0.016,0.0,0.103
1.881,0.19,0.016,0.0,0.104
1.894,0.192,0.017,0.0,0.105
1.925,0.195,0.017,0.0,0.106
1.926,0.2,0.017,0.0,0.107
1.948,0.202,0.018,0.0,0.108
1.95,0.205,0.018,0.0,0.109
1.957,0.205,0.018,0.0,0.11
1.976,0.21,0.019,0.0,0.111
1.986,0.21,0.019,0.0,0.112
1.99,0.211,0.021,0.0,0.113
1.993,0.213,0.021,0.0,0.114
2.0,0.213,0.021,0.0,0.115
2.013,0.215,0.022,0.0,0.116
2.018,0.219,0.023,0.0,0.117
2.047,0.22,0.023,0.0,0.118
2.061,0.222,0.024,0.0,0.119
2.063,0.223,0.024,0.0,0.12
2.067,0.226,0.025,0.0,0.121
2.082,0.226,0.028,0.0,0.122
2.087,0.229,0.032,0.0,0.123
2.142,0.23,0.033,0.0,0.124
2.153,0.234,0.034,0.0,0.125
2.165,0.24,0.035,0.0,0.126
2.21,0.244,0.035,0.0,0.127
2.22,0.245,0.037,0.0,0.128
2.254,0.246,0.038,0.0,0.129
2.267,0.247,0.038,0.0,0.13
2.298,0.248,0.039,0.0,0.131
2.305,0.248,0.039,0.0,0.132
2.342,0.249,0.041,0.0,0.133
2.353,0.251,0.041,0.0,0.134
2.376,0.253,0.042,0.0,0.135
2.4,0.26,0.042,0.0,0.136
2.404,0.267,0.043,0.0,0.137
2.43,0.269,0.045,0.0,0.138
2.454,0.27,0.045,0.0,0.139
2.469,0.279,0.047,0.0,0.14
2.49,0.279,0.047,0.001,0.141
2.494,0.283,0.048,0.001,0.142
2.522,0.283,0.048,0.001,0.143
2.528,0.29,0.048,0.001,0.144
2.551,0.294,0.05,0.001,0.145
2.565,0.297,0.051,0.001,0.146
2.575,0.298,0.052,0.001,0.147
2.588,0.302,0.053,0.002,0.148
2.59,0.309,0.054,0.002,0.149
2.592,0.315,0.054,0.002,0.15
2.606,0.316,0.055,0.002,0.151
2.613,0.319,0.055,0.002,0.152
2.638,0.322,0.056,0.002,0.153
2.651,0.334,0.057,0.002,0.154
2.675,0.334,0.059,0.002,0.155
2.676,0.343,0.059,0.002,0.156
2.68,0.345,0.063,0.002,0.157
2.705,0.349,0.066,0.003,0.158
2.72,0.351,0.066,0.003,0.159
2.748,0.357,0.066,0.003,0.16
2.758,0.358,0.068,0.003,0.161
2.788,0.36,0.069,0.003,0.162
2.824,0.367,0.07,0.004,0.163
2.845,0.368,0.071,0.004,0.164
2.861,0.371,0.071,0.004,0.165
2.867,0.374,0.072,0.004,0.166
2.87,0.375,0.072,0.004,0.167
2.882,0.387,0.073,0.004,0.168
2.882,0.403,0.073,0.004,0.169
2.902,0.406,0.073,0.004,0.17
2.905,0.407,0.074,0.005,0.171
2.905,0.416,0.074,0.005,0.172
2.905,0.417,0.075,0.005,0.173
2.907,0.419,0.077,0.005,0.174
2.983,0.427,0.077,0.005,0.175
2.983,0.43,0.079,0.006,0.176
2.985,0.451,0.079,0.006,0.177
2.999,0.457,0.081,0.007,0.178
3.02,0.462,0.081,0.007,0.179
3.064,0.463,0.083,0.007,0.18
3.093,0.473,0.083,0.007,0.181
3.164,0.485,0.084,0.007,0.182
3.186,0.489,0.085,0.007,0.183
3.233,0.49,0.088,0.008,0.184
3.252,0.496,0.09,0.008,0.185
3.268,0.497,0.091,0.008,0.186
3.273,0.503,0.091,0.008,0.187
3.273,0.509,0.093,0.008,0.188
3.286,0.514,0.093,0.008,0.189
3.332,0.516,0.094,0.008,0.19
3.339,0.534,0.094,0.009,0.191
3.354,0.546,0.096,0.009,0.192
3.365,0.557,0.096,0.009,0.193
3.384,0.566,0.097,0.009,0.194
3.402,0.569,0.098,0.009,0.195
3.405,0.57,0.098,0.01,0.196
3.44,0.57,0.1,0.011,0.197
3.457,0.573,0.102,0.011,0.198
3.5,0.576,0.103,0.012,0.199
3.532,0.582,0.105,0.012,0.2
3.537,0.591,0.11,0.012,0.201
3.618,0.596,0.112,0.012,0.202
3.65,0.602,0.112,0.013,0.203
3.67,0.606,0.112,0.013,0.204
3.686,0.617,0.119,0.013,0.205
3.704,0.625,0.119,0.013,0.206
3.758,0.626,0.12,0.014,0.207
3.771,0.628,0.121,0.014,0.208
3.814,0.634,0.122,0.014,0.209
3.827,0.638,0.123,0.015,0.21
3.86,0.639,0.124,0.015,0.211
3.871,0.651,0.127,0.015,0.212
3.889,0.653,0.128,0.015,0.213
3.906,0.656,0.13,0.015,0.214
3.959,0.657,0.13,0.016,0.215
3.973,0.661,0.131,0.016,0.216
4.006,0.666,0.132,0.018,0.217
4.052,0.69,0.135,0.018,0.218
4.067,0.694,0.136,0.018,0.219
4.071,0.706,0.141,0.019,0.22
4.088,0.713,0.142,0.02,0.221
4.149,0.715,0.145,0.02,0.222
4.166,0.723,0.145,0.02,0.223
4.17,0.731,0.145,0.02,0.224
4.179,0.74,0.146,0.021,0.225
4.215,0.743,0.146,0.022,0.226
4.218,0.747,0.148,0.022,0.227
4.235,0.753,0.148,0.022,0.228
4.236,0.756,0.149,0.023,0.229
4.242,0.762,0.15,0.023,0.23
4.267,0.766,0.15,0.023,0.231
4.269,0.783,0.152,0.024,0.232
4.271,0.787,0.154,0.025,0.233
4.293,0.79,0.156,0.026,0.234
4.327,0.802,0.157,0.026,0.235
4.332,0.813,0.158,0.027,0.236
4.334,0.815,0.16,0.027,0.237
4.386,0.819,0.162,0.027,0.238
4.443,0.822,0.168,0.028,0.239
4.452,0.832,0.171,0.029,0.24
4.497,0.836,0.174,0.03,0.241
4.499,0.839,0.176,0.03,0.242
4.54,0.84,0.176,0.031,0.243
4.557,0.842,0.177,0.031,0.244
4.652,0.845,0.179,0.032,0.245
4.673,0.853,0.18,0.032,0.246
4.718,0.862,0.184,0.034,0.247
4.812,0.865,0.185,0.035,0.248
4.887,0.882,0.185,0.036,0.249
4.892,0.889,0.186,0.036,0.25
4.944,0.893,0.186,0.037,0.251
4.954,0.901,0.186,0.038,0.252
5.06,0.952,0.188,0.039,0.253
5.106,0.957,0.188,0.039,0.254
5.118,0.993,0.191,0.039,0.255
5.154,0.994,0.192,0.04,0.256
5.205,0.995,0.192,0.04,0.257
5.235,1.005,0.192,0.04,0.258
5.239,1.006,0.194,0.041,0.259
5.243,1.006,0.196,0.041,0.26
5.297,1.011,0.198,0.043,0.261
5.301,1.019,0.198,0.043,0.262
5.317,1.025,0.2,0.043,0.263
5.371,1.028,0.204,0.044,0.264
5.425,1.058,0.206,0.044,0.265
5.505,1.061,0.207,0.046,0.266
5.509,1.091,0.208,0.046,0.267
5.54,1.096,0.209,0.047,0.268
5.566,1.096,0.21,0.049,0.269
5.606,1.102,0.21,0.05,0.27
5.614,1.102,0.211,0.05,0.271
5.617,1.112,0.212,0.051,0.272
5.631,1.131,0.217,0.052,0.273
5.659,1.14,0.217,0.052,0.274
5.715,1.141,0.218,0.052,0.275
5.732,1.159,0.218,0.053,0.276
5.772,1.163,0.222,0.053,0.277
5.791,1.171,0.222,0.053,0.278
5.799,1.172,0.222,0.055,0.279
5.8,1.182,0.223,0.055,0.28
5.823,1.187,0.226,0.055,0.281
5.826,1.198,0.226,0.056,0.282
5.896,1.208,0.231,0.056,0.283
5.93,1.21,0.232,0.057,0.284
5.942,1.218,0.235,0.059,0.285
5.961,1.22,0.237,0.059,0.286
6.081,1.222,0.238,0.061,0.287
6.187,1.225,0.24,0.061,0.288
6.201,1.226,0.242,0.064,0.289
6.209,1.232,0.242,0.065,0.29
6.245,1.241,0.244,0.065,0.291
6.271,1.246,0.244,0.066,0.292
6.29,1.252,0.254,0.067,0.293
6.393,1.257,0.256,0.067,0.294
6.396,1.258,0.257,0.068,0.295
6.451,1.26,0.259,0.068,0.296
6.594,1.267,0.261,0.069,0.297
6.598,1.268,0.262,0.069,0.298
6.617,1.272,0.27,0.069,0.299
6.624,1.326,0.272,0.07,0.3
6.629,1.342,0.274,0.07,0.301
6.635,1.346,0.278,0.071,0.302
6.676,1.348,0.278,0.071,0.303
6.689,1.36,0.28,0.071,0.304
6.701,1.373,0.282,0.071,0.305
6.717,1.401,0.285,0.072,0.306
6.739,1.406,0.286,0.073,0.307
6.859,1.409,0.287,0.073,0.308
6.904,1.411,0.288,0.073,0.309
6.972,1.414,0.288,0.074,0.31
6.98,1.423,0.29,0.077,0.311
7.02,1.428,0.29,0.078,0.312
7.024,1.432,0.292,0.08,0.313
7.041,1.44,0.294,0.08,0.314
7.05,1.448,0.298,0.08,0.315
7.053,1.463,0.298,0.081,0.316
7.084,1.491,0.301,0.081,0.317
7.093,1.491,0.302,0.081,0.318
7.14,1.494,0.304,0.082,0.319
7.149,1.495,0.307,0.083,0.32
7.162,1.511,0.309,0.084,0.321
7.176,1.535,0.311,0.085,0.322
7.177,1.539,0.313,0.085,0.323
7.189,1.54,0.315,0.086,0.324
7.239,1.548,0.317,0.088,0.325
7.247,1.552,0.323,0.088,0.326
7.263,1.566,0.332,0.089,0.327
7.277,1.568,0.335,0.089,0.328
7.284,1.573,0.336,0.09,0.329
7.297,1.574,0.337,0.09,0.33
7.323,1.586,0.339,0.091,0.331
7.363,1.587,0.341,0.092,0.332
7.369,1.615,0.346,0.093,0.333
7.383,1.625,0.35,0.093,0.334
7.45,1.634,0.354,0.094,0.335
7.499,1.648,0.355,0.094,0.336
7.629,1.653,0.356,0.094,0.337
7.638,1.669,0.356,0.094,0.338
7.639,1.676,0.358,0.094,0.339
7.664,1.677,0.36,0.095,0.34
7.689,1.684,0.373,0.096,0.341
7.719,1.692,0.373,0.096,0.342
7.724,1.698,0.373,0.097,0.343
7.735,1.7,0.374,0.098,0.344
7.794,1.709,0.374,0.099,0.345
7.847,1.714,0.38,0.101,0.346
7.868,1.715,0.381,0.101,0.347
7.887,1.719,0.382,0.102,0.348
7.921,1.73,0.384,0.103,0.349
7.923,1.734,0.389,0.103,0.35
7.93,1.735,0.39,0.103,0.351
7.95,1.736,0.391,0.107,0.352
8.02,1.744,0.393,0.107,0.353
8.033,1.745,0.397,0.108,0.354
8.049,1.758,0.397,0.109,0.355
8.079,1.765,0.398,0.11,0.356
8.096,1.767,0.399,0.111,0.357
8.123,1.771,0.4,0.111,0.358
8.13,1.773,0.402,0.112,0.359
8.141,1.78,0.405,0.112,0.36
8.153,1.786,0.407,0.112,0.361
8.163,1.817,0.424,0.114,0.362
8.293,1.826,0.424,0.115,0.363
8.298,1.836,0.428,0.116,0.364
8.32,1.839,0.43,0.117,0.365
8.384,1.849,0.43,0.119,0.366
8.393,1.855,0.432,0.12,0.367
8.433,1.866,0.435,0.121,0.368
8.438,1.875,0.438,0.121,0.369
8.453,1.877,0.44,0.122,0.37
8.457,1.894,0.443,0.123,0.371
8.47,1.898,0.446,0.124,0.372
8.507,1.926,0.447,0.124,0.373
8.521,1.931,0.463,0.125,0.374
8.562,1.934,0.47,0.127,0.375
8.58,1.95,0.471,0.128,0.376
8.644,1.958,0.475,0.128,0.377
8.752,1.96,0.477,0.129,0.378
8.769,1.966,0.481,0.13,0.379
8.886,1.983,0.482,0.131,0.38
8.887,1.988,0.486,0.131,0.381
8.909,1.996,0.487,0.132,0.382
8.967,2.004,0.487,0.133,0.383
8.982,2.016,0.49,0.134,0.384
9.067,2.019,0.493,0.136,0.385
9.074,2.048,0.494,0.136,0.386
9.144,2.054,0.495,0.137,0.387
9.195,2.056,0.499,0.138,0.388
9.196,2.064,0.501,0.14,0.389
9.217,2.1,0.515,0.142,0.39
9.219,2.139,0.515,0.143,0.391
9.251,2.149,0.523,0.143,0.392
9.333,2.159,0.524,0.145,0.393
9.391,2.166,0.525,0.145,0.394
9.396,2.166,0.533,0.146,0.395
9.415,2.167,0.54,0.147,0.396
9.418,2.184,0.54,0.148,0.397
9.418,2.195,0.547,0.148,0.398
9.439,2.2,0.552,0.149,0.399
9.506,2.213,0.566,0.153,0.4
9.571,2.226,0.574,0.153,0.401
9.576,2.245,0.575,0.155,0.402
9.609,2.259,0.578,0.157,0.403
9.621,2.28,0.579,0.159,0.404
9.631,2.282,0.589,0.159,0.405
9.688,2.314,0.591,0.162,0.406
9.729,2.329,0.595,0.162,0.407
9.746,2.348,0.595,0.163,0.408
9.772,2.354,0.604,0.163,0.409
9.78,2.356,0.604,0.17,0.41
9.787,2.363,0.605,0.171,0.411
9.812,2.368,0.608,0.174,0.412
9.819,2.379,0.61,0.178,0.413
9.859,2.388,0.618,0.179,0.414
9.907,2.392,0.618,0.18,0.415
9.934,2.404,0.621,0.186,0.416
9.938,2.408,0.626,0.188,0.417
9.973,2.435,0.638,0.188,0.418
10.175,2.447,0.641,0.19,0.419
10.177,2.451,0.643,0.191,0.42
10.273,2.466,0.66,0.192,0.421
10.287,2.474,0.661,0.193,0.422
10.482,2.495,0.679,0.198,0.423
10.602,2.524,0.679,0.201,0.424
10.635,2.532,0.68,0.204,0.425
10.663,2.538,0.684,0.205,0.426
10.733,2.578,0.688,0.206,0.427
10.786,2.612,0.688,0.209,0.428
10.81,2.634,0.692,0.209,0.429
10.88,2.634,0.692,0.21,0.43
10.883,2.636,0.712,0.217,0.431
10.896,2.64,0.714,0.217,0.432
10.916,2.644,0.715,0.218,0.433
10.95,2.658,0.723,0.222,0.434
10.96,2.68,0.727,0.222,0.435
10.97,2.707,0.728,0.223,0.436
10.978,2.716,0.737,0.225,0.437
11.148,2.739,0.74,0.225,0.438
11.294,2.762,0.746,0.226,0.439
11.382,2.777,0.746,0.228,0.44
11.465,2.784,0.748,0.23,0.441
11.471,2.789,0.75,0.232,0.442
11.473,2.795,0.75,0.232,0.443
11.475,2.796,0.751,0.233,0.444
11.557,2.815,0.751,0.234,0.445
11.574,2.858,0.755,0.237,0.446
11.59,2.861,0.758,0.239,0.447
11.718,2.862,0.758,0.24,0.448
11.729,2.911,0.759,0.241,0.449
11.914,2.914,0.761,0.242,0.45
11.93,2.928,0.768,0.248,0.451
11.931,2.929,0.768,0.25,0.452
11.969,2.935,0.769,0.251,0.453
11.982,2.963,0.769,0.254,0.454
12.031,2.964,0.796,0.254,0.455
12.046,2.971,0.799,0.256,0.456
12.049,2.977,0.803,0.259,0.457
12.059,2.984,0.807,0.26,0.458
12.136,2.987,0.815,0.262,0.459
12.223,2.999,0.824,0.264,0.46
12.252,3.013,0.838,0.265,0.461
12.271,3.028,0.838,0.265,0.462
12.29,3.043,0.84,0.268,0.463
12.296,3.062,0.842,0.27,0.464
12.319,3.12,0.846,0.27,0.465
12.326,3.143,0.848,0.27,0.466
12.373,3.144,0.852,0.276,0.467
12.377,3.2,0.858,0.277,0.468
12.396,3.207,0.862,0.284,0.469
12.554,3.207,0.862,0.285,0.47
12.572,3.218,0.869,0.287,0.471
12.572,3.237,0.878,0.29,0.472
12.579,3.248,0.88,0.292,0.473
12.647,3.266,0.883,0.292,0.474
12.65,3.269,0.887,0.297,0.475
12.668,3.291,0.893,0.298,0.476
12.71,3.297,0.902,0.299,0.477
12.722,3.323,0.904,0.305,0.478
12.764,3.393,0.911,0.305,0.479
12.794,3.41,0.911,0.312,0.48
12.93,3.42,0.93,0.312,0.481
13.059,3.435,0.931,0.317,0.482
13.326,3.438,0.932,0.319,0.483
13.421,3.47,0.934,0.32,0.484
13.522,3.472,0.935,0.321,0.485
13.572,3.492,0.936,0.323,0.486
13.726,3.504,0.943,0.325,0.487
13.743,3.523,0.947,0.33,0.488
13.786,3.564,0.951,0.332,0.489
13.796,3.568,0.959,0.335,0.49
13.901,3.597,0.964,0.338,0.491
14.048,3.632,0.973,0.339,0.492
14.131,3.681,0.983,0.342,0.493
14.227,3.683,0.985,0.343,0.494
14.227,3.69,0.991,0.343,0.495
14.233,3.74,0.992,0.356,0.496
14.428,3.763,0.998,0.362,0.497
14.498,3.798,1.002,0.371,0.498
14.544,3.808,1.006,0.372,0.499
14.636,3.81,1.012,0.374,0.5
14.732,3.817,1.014,0.375,0.501
14.769,3.824,1.018,0.378,0.502
14.903,3.825,1.018,0.379,0.503
14.935,3.837,1.019,0.382,0.504
14.996,3.847,1.02,0.386,0.505
15.003,3.863,1.025,0.388,0.506
15.174,3.864,1.035,0.391,0.507
15.179,3.868,1.04,0.392,0.508
15.267,3.882,1.041,0.393,0.509
15.27,3.916,1.044,0.397,0.51
15.351,3.921,1.044,0.404,0.511
15.36,3.93,1.052,0.404,0.512
15.374,4.022,1.08,0.408,0.513
15.39,4.05,1.092,0.41,0.514
15.404,4.063,1.095,0.411,0.515
15.458,4.098,1.098,0.412,0.516
15.468,4.098,1.124,0.417,0.517
15.472,4.139,1.126,0.418,0.518
15.499,4.14,1.128,0.42,0.519
15.602,4.144,1.137,0.424,0.52
15.613,4.183,1.143,0.429,0.521
15.733,4.202,1.15,0.433,0.522
15.788,4.221,1.173,0.437,0.523
15.825,4.277,1.185,0.437,0.524
15.828,4.339,1.198,0.44,0.525
15.833,4.368,1.2,0.445,0.526
15.951,4.378,1.207,0.446,0.527
15.986,4.412,1.209,0.45,0.528
16.007,4.423,1.213,0.463,0.529
16.078,4.451,1.225,0.466,0.53
16.247,4.453,1.243,0.469,0.531
16.32,4.462,1.243,0.469,0.532
16.715,4.513,1.244,0.472,0.533
16.753,4.614,1.26,0.486,0.534
16.972,4.644,1.267,0.487,0.535
16.978,4.674,1.267,0.487,0.536
17.118,4.684,1.3,0.491,0.537
17.189,4.747,1.318,0.494,0.538
17.27,4.788,1.318,0.499,0.539
17.302,4.795,1.32,0.499,0.54
17.525,4.903,1.345,0.502,0.541
17.666,4.927,1.347,0.503,0.542
17.832,4.937,1.348,0.503,0.543
17.857,4.966,1.357,0.515,0.544
18.072,5.029,1.361,0.519,0.545
18.151,5.039,1.375,0.519,0.546
18.418,5.04,1.392,0.52,0.547
18.543,5.047,1.396,0.52,0.548
18.636,5.074,1.403,0.522,0.549
18.651,5.083,1.403,0.526,0.55
18.698,5.115,1.412,0.526,0.551
18.774,5.163,1.413,0.534,0.552
18.786,5.23,1.418,0.544,0.553
18.958,5.232,1.42,0.544,0.554
19.095,5.253,1.429,0.546,0.555
19.119,5.291,1.434,0.547,0.556
19.12,5.308,1.438,0.55,0.557
19.145,5.362,1.439,0.551,0.558
19.148,5.389,1.452,0.552,0.559
19.173,5.453,1.469,0.554,0.56
19.274,5.49,1.478,0.555,0.561
19.31,5.527,1.491,0.565,0.562
19.371,5.539,1.501,0.574,0.563
19.41,5.58,1.537,0.575,0.564
19.414,5.597,1.541,0.578,0.565
19.446,5.639,1.555,0.579,0.566
19.549,5.679,1.561,0.583,0.567
19.57,5.747,1.569,0.584,0.568
19.663,5.822,1.592,0.595,0.569
19.684,5.86,1.592,0.595,0.57
19.869,5.864,1.599,0.596,0.571
19.883,5.865,1.633,0.6,0.572
19.969,5.874,1.656,0.601,0.573
20.133,5.886,1.677,0.606,0.574
20.184,5.961,1.683,0.608,0.575
20.32,5.975,1.704,0.618,0.576
20.599,6.004,1.708,0.618,0.577
20.672,6.022,1.762,0.624,0.578
20.691,6.047,1.765,0.631,0.579
20.832,6.066,1.775,0.631,0.58
20.899,6.115,1.782,0.636,0.581
20.941,6.133,1.786,0.638,0.582
21.021,6.15,1.808,0.639,0.583
21.051,6.159,1.813,0.64,0.584
21.059,6.192,1.819,0.643,0.585
21.069,6.198,1.834,0.653,0.586
21.115,6.243,1.839,0.656,0.587
21.134,6.306,1.866,0.668,0.588
21.223,6.4,1.873,0.668,0.589
21.36,6.424,1.88,0.671,0.59
21.363,6.451,1.907,0.677,0.591
21.388,6.473,1.936,0.677,0.592
21.411,6.532,1.956,0.679,0.593
21.454,6.588,1.97,0.683,0.594
21.528,6.62,1.995,0.684,0.595
21.744,6.624,1.997,0.692,0.596
21.806,6.635,2.007,0.692,0.597
21.859,6.675,2.009,0.692,0.598
21.964,6.68,2.025,0.695,0.599
22.124,6.697,2.028,0.704,0.6
22.168,6.803,2.03,0.714,0.601
22.197,6.805,2.031,0.723,0.602
22.343,6.815,2.038,0.725,0.603
22.446,6.911,2.054,0.737,0.604
22.668,6.952,2.064,0.74,0.605
22.668,7.085,2.07,0.741,0.606
22.722,7.091,2.088,0.741,0.607
22.757,7.136,2.091,0.748,0.608
22.964,7.242,2.103,0.75,0.609
23.068,7.32,2.127,0.754,0.61
23.204,7.463,2.139,0.757,0.611
23.205,7.513,2.153,0.763,0.612
23.434,7.517,2.156,0.773,0.613
23.512,7.518,2.16,0.775,0.614
23.532,7.639,2.178,0.786,0.615
23.759,7.745,2.19,0.787,0.616
23.853,7.762,2.192,0.788,0.617
23.873,7.968,2.201,0.79,0.618
23.968,8.009,2.201,0.796,0.619
23.997,8.024,2.248,0.803,0.62
24.054,8.084,2.291,0.804,0.621
24.101,8.162,2.306,0.805,0.622
24.221,8.223,2.309,0.812,0.623
24.232,8.27,2.326,0.815,0.624
24.269,8.341,2.331,0.845,0.625
24.308,8.35,2.334,0.852,0.626
24.366,8.37,2.342,0.865,0.627
24.448,8.389,2.357,0.868,0.628
24.549,8.394,2.361,0.87,0.629
24.656,8.507,2.365,0.872,0.63
24.863,8.541,2.38,0.883,0.631
24.888,8.557,2.421,0.886,0.632
25.107,8.569,2.424,0.891,0.633
25.236,8.587,2.427,0.891,0.634
25.239,8.634,2.445,0.892,0.635
25.261,8.724,2.451,0.893,0.636
25.279,8.789,2.493,0.893,0.637
25.289,8.799,2.513,0.9,0.638
25.583,8.857,2.558,0.904,0.639
25.6,8.904,2.571,0.911,0.64
25.802,8.909,2.587,0.923,0.641
25.836,8.921,2.59,0.925,0.642
26.053,8.94,2.597,0.928,0.643
26.127,8.964,2.601,0.93,0.644
26.188,8.992,2.637,0.941,0.645
26.359,9.043,2.654,0.947,0.646
26.363,9.07,2.659,0.952,0.647
26.379,9.143,2.674,0.953,0.648
26.539,9.185,2.675,0.967,0.649
26.793,9.203,2.683,0.97,0.65
26.917,9.207,2.71,0.97,0.651
26.965,9.244,2.714,0.975,0.652
27.139,9.246,2.733,0.976,0.653
27.35,9.254,2.734,0.989,0.654
27.43,9.463,2.748,0.992,0.655
27.746,9.538,2.752,1.002,0.656
27.768,9.597,2.764,1.006,0.657
27.856,9.651,2.784,1.006,0.658
28.071,9.714,2.785,1.013,0.659
28.146,9.744,2.816,1.018,0.66
28.331,9.759,2.835,1.024,0.661
28.397,9.776,2.84,1.024,0.662
28.631,9.777,2.854,1.031,0.663
28.651,9.783,2.918,1.031,0.664
28.652,9.817,2.976,1.036,0.665
28.729,9.918,3.02,1.048,0.666
28.74,10.015,3.024,1.061,0.667
28.797,10.05,3.03,1.072,0.668
28.822,10.053,3.033,1.075,0.669
28.843,10.063,3.044,1.08,0.67
28.861,10.064,3.062,1.092,0.671
28.923,10.119,3.063,1.094,0.672
29.136,10.173,3.077,1.095,0.673
29.252,10.208,3.105,1.097,0.674
29.298,10.228,3.141,1.12,0.675
29.473,10.313,3.166,1.124,0.676
29.515,10.351,3.27,1.136,0.677
29.568,10.499,3.279,1.141,0.678
29.67,10.518,3.291,1.166,0.679
29.751,10.566,3.293,1.185,0.68
29.94,10.575,3.314,1.229,0.681
29.985,10.783,3.351,1.229,0.682
30.068,10.899,3.361,1.236,0.683
30.18,10.916,3.378,1.243,0.684
30.232,10.928,3.379,1.261,0.685
30.389,10.957,3.379,1.276,0.686
30.489,11.268,3.38,1.33,0.687
30.508,11.27,3.393,1.334,0.688
30.887,11.271,3.405,1.345,0.689
30.908,11.295,3.433,1.359,0.69
30.962,11.533,3.435,1.359,0.691
31.014,11.541,3.466,1.369,0.692
31.335,11.544,3.525,1.403,0.693
31.364,11.552,3.573,1.406,0.694
31.485,11.658,3.575,1.425,0.695
31.55,11.734,3.578,1.435,0.696
